Taxa	Turipana	Motilonia	C. de Bolivar	Caribia
G1	-1.932043548	-0.832002644	-1.004328539	NA
G10	-1.618252232	-1.11037057	-1.421653465	NA
G11	-1.548246529	-1.087034586	-1.164099767	NA
G12	-1.193677448	-1.19448938	-1.268009515	NA
G13	-2.186428019	-1.14678794	-1.570734524	-0.781206699
G14	-0.683020128	-0.954087051	-1.991909603	NA
G15	-1.700990594	-1.112797742	-1.227478778	NA
G16	-1.193677448	-1.141854912	-0.973734108	NA
G17	-2.197394554	-1.349536069	-1.523313572	NA
G18	-1.556742389	-1.133426241	-1.514268861	NA
G19	-1.767064344	-0.952059699	-1.447975765	NA
G2	-1.352721352	-1.28905373	-1.673139807	NA
G20	-1.012621883	-0.821464405	-1.390136845	NA
G22	-1.177358518	-1.032732653	-1.392521403	NA
G23	-0.628002644	-1.20136343	-1.266477063	NA
G24	-1.707662184	-1.187838229	-1.199732164	-0.889926878
G25	-1.352721352	-1.293620204	-0.858979986	NA
G26	-2.460033832	-1.018819679	-1.28284935	-0.971345803
G27	-1.917790522	-1.0993549	-0.997030226	-1.154758379
G28	-0.699795179	-1.186820371	-1.188652764	-1.062112009
G29	-1.766834272	-0.890770611	-1.086169019	NA
G3	-1.307991551	-1.078907509	-1.538394775	NA
G30	-1.427501505	-0.985197312	-1.347841705	NA
G31	-1.300521903	NA	-1.229505491	NA
G32	-2.548052342	-1.096624437	-0.737442417	NA
G33	-0.438749618	NA	-1.047747663	NA
G34	-1.854805893	-0.920672827	-1.384531859	NA
G35	-1.577770416	-1.050877167	-1.04607705	NA
G36	NA	NA	-1.26413424	NA
G37	-1.352721352	-1.068958397	-0.719535481	-0.684365125
G38	-1.464085696	-0.823775239	-1.393968326	NA
G39	-1.765474846	NA	-1.41080428	-0.989871117
G4	-1.297607206	NA	-1.14992759	NA
G40	NA	-1.077418785	-1.346523168	NA
G41	-1.175438575	-1.122871994	-0.94573548	NA
G42	-1.193677448	-0.987229832	-1.573511522	NA
G43	-1.352721352	-1.063484862	-1.646938015	NA
G44	NA	NA	-1.251212519	NA
G45	-0.826450318	-1.072826692	-1.222069015	NA
G46	-1.033582668	NA	-1.29664592	NA
G47	-1.290130336	-1.16110449	-1.810489835	NA
G48	-1.209994089	-1.287056139	-1.21372692	NA
G49	-0.438749618	NA	-1.121175982	-0.094754057
G5	-1.327298057	-1.235685421	-1.572424301	NA
G50	-1.771535038	NA	-1.606892336	NA
G51	-1.629331278	-0.939160398	-1.151731554	NA
G52	-0.973555722	NA	-0.902848974	NA
G53	-0.826450318	NA	-1.400727461	NA
G54	-0.670405274	NA	-0.763989335	NA
G55	-1.91221116	-0.819059329	-1.028978472	NA
G56	-1.850241371	-0.889119757	-0.905112081	NA
G57	NA	-1.001501443	-0.518258369	NA
G58	-1.621974138	NA	-0.992786314	NA
G59	-0.438749618	NA	-0.903164269	NA
G6	-1.70288994	-1.31760088	-2.101351978	NA
G60	-0.581027663	NA	-0.881178664	NA
G61	-1.315998152	NA	-1.449759372	NA
G62	-1.928855632	-0.957614036	-1.450429988	NA
G63	-1.244340556	-0.934342609	-1.622377236	NA
G64	-1.166367644	-0.922687563	-1.008489369	NA
G65	-1.340481042	-0.903416446	-1.387827552	NA
G66	-1.574547772	NA	-1.188887822	NA
G67	-1.727096857	-0.932712495	-1.504271352	NA
G68	-1.570843329	-1.215141749	-1.366156987	-0.318607759
G69	-0.923935911	-0.746405232	-0.984902071	-0.402495086
G7	-1.890964825	-1.16018558	-1.44308606	NA
G70	-0.857362604	-0.983740077	-1.183120593	NA
G71	-1.23767046	-0.884824913	-1.325835894	NA
G72	-1.689101449	-1.186714575	-1.205846298	NA
G73	-1.464085696	NA	-0.737029673	NA
G74	-0.792148098	-0.977770222	-0.902515113	NA
G75	-1.877144493	-1.00366878	-1.373623405	NA
G76	-1.099692036	-0.732293186	-1.424646497	NA
G77	-1.707662184	-0.761870503	-1.772238882	-1.129415064
G78	-0.918508339	-0.957887064	-1.558709437	NA
G79	-1.75066085	-1.060243703	-1.50559116	NA
G8	-1.570212674	-1.209468176	-1.302093031	NA
G80	-1	-0.99013255	-1.43573727	NA
G81	-1.209994089	-1.406936325	-1.877712859	NA
G82	-1.861993402	-1.264053268	-1.285401041	-0.643321955
G83	-2.448989699	-0.824803235	-1.24851286	NA
G84	-2.024577574	-1.138443322	-1.192687637	-1.264809811
G85	-2.213059157	-1.081944541	-1.704695022	-1.810125316
G86	-1.873254979	-0.80372014	-1.519680371	-1.191742451
G9	-1.733248625	-1.141883719	-1.111342927	-0.727002288
